Ian,What year are you? Are you a transfer student? ​
Roberto,What was your most memorable class?  (Memorable can be good or bad)​
Gurtaj,What year are you? Are you a transfer student? ​
Peang,What do you like most about the campus?​
Collin,What are you most excited about this course?​
Vivian,What do you like most about the campus?​
Yoonsu,What year are you? Are you a transfer student? ​
Jose,Any prior programming experience? (This class will go over C++)​
Bryson,What was your most memorable class?  (Memorable can be good or bad)​
Raphael,What do you like most about the campus?​
Michael,What year are you? Are you a transfer student? ​
Terrell,What was your most memorable class?  (Memorable can be good or bad)​
Jorge,What projects do you want to accomplish this semester?​
Jasson,What are you most excited about this course?​
Edgar,What are you most excited about this course?​
Alejandro,Any prior programming experience? (This class will go over C++)​
Dat,What was your most memorable class?  (Memorable can be good or bad)​
Josiah,What was your most memorable class?  (Memorable can be good or bad)​
Everest,What are you most excited about this course?​
Nathan,What was your most memorable class?  (Memorable can be good or bad)​
Ly ,What do you like most about the campus?​
Tamish ,What was your most memorable class?  (Memorable can be good or bad)​
Evan,What projects do you want to accomplish this semester?​
Jennifer,What year are you? Are you a transfer student? ​
Thomas,What was your most memorable class?  (Memorable can be good or bad)​
Anthony,What do you like most about the campus?​
Jun,What do you like most about the campus?​
Zenobi,What do you like most about the campus?​
Pratham,What was your most memorable class?  (Memorable can be good or bad)​
Adam,What do you like most about the campus?​
